Altersgruppe;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9
Gesamt;7,72;26,97;40,89;43,39;32,69;20,88;14,88;8,95;7,5;5,72;4,35;3,86;2,84;2,82;4,96;3,87;3,24;2,92;3,63;4,73;5,8;7,28;9,56;11,54;10,6;10,37;11,75;14,78;15,72;19,15;31,42;50,6;90,01;133,63;151,31;153,81;154,52;148,27;154,52;188,24;210,38;167,49;148,17;175;143,11;114,96;94,16;77,74;61,19;63,13;67,9;69,71
90+;1,58;12,27;51,52;142,28;151,15;103,03;70,59;34,63;25,27;17,37;12,51;8,75;5,1;5,59;4,5;3,4;2,92;1,82;3,28;2,07;4,74;3,4;3,04;2,19;3,52;2,92;5,47;8,99;11,42;14,34;22,36;53,22;107,41;178,24;209,47;281,88;373,25;427,19;508,48;657,56;726,33;639,57;604,58;657,56;612,36;479,32;350,41;235,59;159,16;131,22;100,84;73,87
85 - 89;2,43;14,07;47,19;92,59;91;59,21;43,55;20,85;16,82;11,45;8,12;5,44;3,26;3,26;3,01;2,17;1,79;1,28;1,53;2,17;2,62;2,56;3,58;1,47;2,11;1,6;5,37;6,59;7,74;10,55;19,57;36,77;73,28;114,21;146,63;181,03;215,69;262,05;294,15;379,27;444,68;375,05;357,97;388,99;355,16;284,56;212,94;164,98;105,9;93,49;77,25;60,75
80 - 84;2,58;14,21;38,92;59,68;52,12;35,85;24,95;13,72;9,08;7,47;4,64;3,4;2,31;1,88;1,88;1,55;1,49;1,09;1,15;1,55;2,73;2,09;2,46;1,94;1,52;1,82;4,04;5,92;6,44;9,59;14,27;26,01;55,7;86,21;104,33;115,59;132,35;145,28;165,44;215,19;251,25;225,79;208,7;232,98;203,08;161,73;127,34;95,47;69,79;60,77;54,09;46,47
75 - 79;2,94;14,76;36,3;46,1;33,9;22,03;15,14;9,05;7,09;4,54;2,73;2,12;1,5;1,19;1,68;1,47;1,03;1,03;1,14;1,47;1,83;1,42;1,83;1,73;1,78;1,93;3,79;4,67;5,98;8;13;23,29;41,95;68,39;78,78;84,95;87,43;90,19;102,52;128,91;153,36;132;119,75;134,89;111,31;88,25;72,9;57,04;43,91;44,22;40,84;34,62
70 - 74;3,92;16,85;36,12;38,57;28,58;17,17;11,54;7,48;5,63;3,51;2,53;2,18;1,28;1,09;1,58;1,09;1,01;1,52;1,69;1,71;2,42;2,48;2,15;2,61;2,5;2,89;4,08;7,05;7,21;9,47;15,98;25,39;48,96;78,47;86,58;89,68;91,42;87,12;94,8;119,59;140,77;121,23;112,65;131,35;99,64;83,39;67,58;56,23;42,89;43,3;44,88;42,21
65 - 69;4,88;18,25;33,9;34,82;22,99;13,62;10,37;5,47;4,28;3;2,53;2,2;1,23;1,05;1,42;1,36;1,28;1,28;1,46;1,75;1,77;2,49;2,26;2,49;2,7;2,63;4,63;5,97;6,28;9,3;14,08;26,45;46,63;73,12;87,67;82,65;85,57;85,2;84,85;106,54;130,77;115,04;102,51;117,7;90,82;74,6;64,42;52,11;39,49;42,09;43,9;40,81
60 - 64;7,56;28,28;44,74;49,26;31,8;19,25;11,93;7,17;5,88;4,25;3,1;2,97;1,89;1,61;2,16;1,91;1,97;1,65;1,95;2,69;2,69;3,61;3,4;4,2;4,32;4,39;6;8,73;9,6;12,04;22,5;37,5;70,05;106,24;121,53;122,42;129,47;123,96;135,56;167;195,25;162,68;146,55;164,12;133,7;110,36;90,83;74,67;56,54;57,78;62,27;60,2
55 - 59;11,15;38,58;53,33;54,46;38,72;23,24;15,72;8,91;7,58;5,34;3,95;3,52;2,11;1,99;2,76;3;2,32;1,72;2,63;3,59;4,23;4,57;4,84;6,38;5,27;5,83;8,24;11,31;12,85;16,46;27,77;44,51;85,51;133,17;150,94;153;152,08;146,63;153,9;193,95;222,86;183,77;164,55;182,92;148,92;123,94;104,29;86,27;66,87;68,28;71,84;68,01
50 - 54;14,57;46,05;59,61;55,09;38,94;23,25;14,81;9,02;7,75;5,59;3,76;3,58;2,24;2,18;4,74;3,99;2,77;2,56;3,1;4,38;5,22;6,23;7,05;8,35;8,02;8,23;9,97;13,35;14,83;17,99;33,78;53,31;95,7;145,73;163,39;164,05;161,45;154,18;157,36;197,61;222,44;178,79;156,91;180,13;146,03;121,99;99,64;78,98;64,17;67,23;70,53;73,04
45 - 49;14,05;39,84;55,43;51,58;36,45;22,26;14,98;8,89;8,5;6,24;4,82;4,06;3,07;2,75;7,11;5,25;4,19;3,45;4,4;6,33;7,3;8,63;10,9;13,18;11,42;11,64;13,16;16,59;17,01;22,74;38,63;59,32;110,23;159,1;179,64;176,34;183,49;171,83;175,18;210,53;235,94;184,57;162,36;185,73;151,1;122,6;100,73;85,28;67,53;71,49;76,88;80,8
40 - 44;11,53;36,73;47,42;47,02;34,12;20,9;14,2;9,29;8,23;7,25;4,95;4,32;3,59;3,22;9,25;5,58;4,38;3,87;5,13;6,54;8,74;9,96;13,02;14,59;13,44;13,2;13,99;17,19;17,54;21,41;38,05;59,2;108,05;160,42;180,93;183,11;188,18;179,47;179,83;222,02;244,45;194,09;163,64;194,03;154;126,83;104,38;87,33;70,69;73,09;84,35;86,6
35 - 39;10,34;33,18;45,05;41,69;31,25;18,57;14,44;8,77;7,96;6,67;5,2;4,54;2,97;3,69;7,24;5,63;4,27;3,89;4,75;6,81;7,24;9,72;12,18;14,37;13,54;12,29;13,25;17,03;19,08;21,82;34,52;58,72;102,04;152,9;169,46;173,79;174,07;164,85;172,73;207,99;231,26;180,18;153,05;191,64;151,63;119,85;98,52;84,55;68,16;70,5;79,07;85,74
30 - 34;9,73;37,28;48;44;31,88;21,89;16,52;10,23;8,88;7,11;5,84;4,91;3,75;4,08;7,53;6,08;4,73;4,73;5,4;6,99;7,7;9,33;12,74;17,18;15,58;17,1;17,1;21,94;23,71;27,73;42,94;70,24;122,24;174,23;190,86;190,88;183,65;170,71;172,57;209,89;236,91;182,81;167,35;211,02;164,71;127,94;105,19;89,51;71,02;74,84;82,88;88,6
25 - 29;10,76;39,49;53,07;49,01;38,09;25,56;19,67;13,42;10,27;7,67;6,9;6,23;4,39;4,79;7,76;6,4;6,23;4,47;6,07;8,08;10,05;11,96;16,51;23,55;24,06;22,82;24,24;29,22;28,36;34,41;53,01;88,21;144,21;203,69;219,77;210,96;195,94;177,54;180,22;212,93;238,65;185,99;166,11;212,75;168,23;126,16;105,45;88,44;72,09;76,88;81,94;83,63
20 - 24;7,03;31,44;49,26;48,69;37,65;26,78;20,85;12,91;11,02;9,03;6,84;6,27;4,99;5,4;8,16;5,64;5,6;5,14;6,51;8,2;11,31;16,17;25,3;33,53;28,77;27,12;27,93;32,9;34,35;37,78;60,5;95,11;163,87;226,32;254,79;239,6;221,83;194,08;199,55;234,2;262,67;197,03;186,77;236,35;184,79;139,81;113,81;95,04;79,51;85,86;91,27;94,96
15 - 19;4,65;13,73;23,81;27,34;21,73;14,52;10,18;6,73;6,6;4,59;3,88;4,11;4,09;2,82;6,09;4,29;3,5;3,78;4,85;6,27;9,24;13,76;18,84;22,36;21,15;19,55;21,1;26,4;26,55;33,69;52,47;75,19;123,32;182,62;213,52;221,21;208,21;189,33;196,18;224,36;214,94;149,14;125,76;161,93;137,31;106,77;88,37;74,13;60,42;66,61;77,96;80,7
10 - 14;2,73;6,83;10,24;11,61;8,18;6,37;5,08;3,67;3,38;3,16;2,92;3,21;2,78;3,21;5,19;3,94;2,84;2,75;4;5,16;6,78;9,83;14,69;15,58;13,04;11,61;13,45;13,99;15,83;19,12;30,84;44,64;74,1;110,29;128,87;144,24;143,13;140,02;139,32;153,66;142,78;91,2;71,51;89,69;73,64;60,03;50,8;46,64;38,13;42,62;50,85;61,52
5 - 9;1,5;4,53;6,68;7,86;6,33;4,37;4,11;3,22;2,82;2,95;2,17;3,03;2,66;3,3;4,72;3,73;3,33;3,09;3,65;4,05;5,31;7,65;10,92;10,2;9,47;8,53;8,72;9,5;10,41;11,62;16,77;26,03;49,16;74,91;90,23;97;105,1;102,36;98,71;114,52;115,62;81,27;52,05;64,37;59,14;51,01;44,08;43,06;37,32;41,56;53,88;72,5
0 - 4;0,91;3,61;6,41;6,87;5,96;4,06;4,67;3,33;3,48;2,93;3,08;2,22;2,73;2,78;4,04;3,43;3,56;3,71;3,53;4,06;3,79;4,77;6,97;7,14;5,63;5,73;5,71;7,35;7,6;8,2;13,23;22,39;36,86;56,6;61,04;61,14;60,08;58,74;58,26;67,53;78,56;53,49;38,72;48,64;47,05;42,96;38,8;38,09;34,1;34,76;47,79;59,73
